feature,control_mean,treatment_mean,standardized_mean_difference,abs_smd
f3,4.240732714327737,4.165210315989359,-0.058313387579552116,0.058313387579552116
f6,-3.9883298287755014,-4.210555500582636,-0.04905524866940596,0.04905524866940596
f1,10.066745215380493,10.07111972248154,0.043944821142933056,0.043944821142933056
f5,4.042132674949748,4.025610088257916,-0.03983548086827549,0.03983548086827549
f9,15.875235350607614,16.091561862065678,0.0312055861020531,0.0312055861020531
f7,5.075466915387553,5.102975000400851,0.02331933287460336,0.02331933287460336
f8,3.9342658977040554,3.9330632129727006,-0.021383456061320125,0.021383456061320125
f2,8.45162006601924,8.446969720720581,-0.015473011251361458,0.015473011251361458
f0,19.650580809920335,19.610405816746574,-0.007441133923810905,0.007441133923810905
f11,-0.1709741919198492,-0.17101893719365213,-0.001979114055261744,0.001979114055261744
f4,10.339991150526576,10.339848480623168,-0.00041164505117291945,0.00041164505117291945
f10,5.333762717206227,5.3337879846294305,0.00014944511532905618,0.00014944511532905618
