itemid,addtocart,transaction,view,unique_visitors,cart_per_view_pct,transaction_per_view_pct
187946,2,0,3410,2912,0.05865102639296188,0.0
461686,304,133,2538,1393,11.9779353821907,5.240346729708432
5411,9,0,2325,2079,0.3870967741935484,0.0
370653,0,0,1854,1577,0.0,0.0
219512,48,12,1740,1370,2.7586206896551726,0.6896551724137931
298009,0,0,1642,1342,0.0,0.0
96924,0,0,1633,1359,0.0,0.0
309778,48,15,1565,1055,3.0670926517571884,0.9584664536741214
257040,89,27,1531,986,5.81319399085565,1.7635532331809276
384302,65,15,1528,1154,4.2539267015706805,0.981675392670157
335975,0,0,1428,1154,0.0,0.0
111530,39,11,1397,926,2.791696492483894,0.7874015748031497
441668,33,11,1389,1080,2.375809935205184,0.7919366450683946
7943,97,46,1346,846,7.206537890044577,3.4175334323922733
320130,141,33,1333,886,10.577644411102776,2.4756189047261814
151444,0,0,1230,1103,0.0,0.0
234255,77,16,1214,988,6.342668863261944,1.3179571663920921
190000,47,20,1164,848,4.037800687285223,1.7182130584192439
142466,1,0,1135,936,0.0881057268722467,0.0
37029,71,25,1131,776,6.27763041556145,2.2104332449160036
