feature,smd,abs_smd
f3,-0.04982043158432143,0.04982043158432143
f6,-0.0421380644823224,0.0421380644823224
f5,-0.031149822807146885,0.031149822807146885
f9,0.02496472472772845,0.02496472472772845
f1,0.024378370543625637,0.024378370543625637
f8,-0.023862752176329997,0.023862752176329997
f7,0.021868800875511754,0.021868800875511754
f10,0.009123066614100783,0.009123066614100783
f4,0.007645739659701789,0.007645739659701789
f0,-0.007075996889984589,0.007075996889984589
f2,-0.005963782713779672,0.005963782713779672
f11,-0.005202553798631108,0.005202553798631108
